Model,Training Accuracy,Testing Accuracy,Generalization Gap,Precision,Recall,F1 Score
Decision Tree,1.0,0.9473684210526315,0.052631578947368474,0.9577464788732394,0.9577464788732394,0.9577464788732394
Random Forest,1.0,0.9649122807017544,0.03508771929824561,0.958904109589041,0.9859154929577465,0.9722222222222222
